name	dscDiscoveryYear	status	nmaName	recoverableOilMillSm3	recoverableGasBillSm3	recoverableOeMillSm3
BALDER	1967	PRODUCING	North sea	74.2	1.9	76.1
COD	1968	SHUT DOWN	North sea	2.9	7.3	11.15
EKOFISK	1969	PRODUCING	North sea	545.6	158.8	731.95
ELDFISK	1970	PRODUCING	North sea	131.2	42.4	180.82
TOR	1970	SHUT DOWN	North sea	24.5	10.9	37.68
VEST EKOFISK	1970	SHUT DOWN	North sea	12.2	26.0	40.86
FRIGG	1971	SHUT DOWN	North sea	0.0	116.2	116.7
HEIMDAL	1972	PRODUCING	North sea	6.5	45.2	51.7
EDDA	1972	SHUT DOWN	North sea	4.8	2.0	7.18
ALBUSKJELL	1972	SHUT DOWN	North sea	7.4	15.5	24.8
ØST FRIGG	1973	SHUT DOWN	North sea	0.0	9.2	9.3
STATFJORD	1974	PRODUCING	North sea	576.1	81.4	702.04
ODIN	1974	SHUT DOWN	North sea	0.0	27.3	27.5
FLYNDRE	1974	PDO APPROVED	North sea	0.4	0.1	0.5
SLEIPNER VEST	1974	PRODUCING	North sea	3.6	137.0	189.11
NORDØST FRIGG	1974	SHUT DOWN	North sea	0.0	11.6	11.7
HOD	1974	PRODUCING	North sea	10.3	1.8	13.05
GUDRUN	1975	PRODUCING	North sea	11.9	6.2	20.76
MURCHISON	1975	SHUT DOWN	North sea	13.9	0.3	14.77
LILLE-FRIGG	1975	SHUT DOWN	North sea	1.3	2.2	3.5
VALHALL	1975	PRODUCING	North sea	144.8	26.9	181.2
STATFJORD ØST	1976	PRODUCING	North sea	37.7	4.1	45.79
ULA	1976	PRODUCING	North sea	83.2	3.9	93.18
STATFJORD NORD	1977	PRODUCING	North sea	42.4	2.2	46.69
GULLFAKS SØR	1978	PRODUCING	North sea	62.4	84.8	170.19
GINA KROG	1978	PDO APPROVED	North sea	16.9	12.0	35.17
MARTIN LINGE	1978	PDO APPROVED	North sea	5.9	19.5	31.65
TOMMELITEN GAMMA	1978	SHUT DOWN	North sea	3.9	9.7	14.74
GULLFAKS	1978	PRODUCING	North sea	377.0	23.1	405.42
SNORRE	1979	PRODUCING	North sea	267.5	6.6	283.22
TROLL	1979	PRODUCING	North sea	280.4	1432.8	1762.01
OSEBERG	1979	PRODUCING	North sea	401.7	122.5	548.52
GYDA	1980	PRODUCING	North sea	36.2	6.3	46.11
BRAGE	1980	PRODUCING	North sea	60.9	5.6	69.92
ÅSGARD	1981	PRODUCING	Norwegian sea	103.4	210.0	403.84
OSEBERG ØST	1981	PRODUCING	North sea	28.2	0.4	28.79
VESLEFRIKK	1981	PRODUCING	North sea	54.8	4.9	62.93
SLEIPNER ØST	1981	PRODUCING	North sea	0.2	67.8	119.87
VEGA	1981	PRODUCING	North sea	8.2	16.9	36.88
SIGYN	1982	PRODUCING	North sea	0.8	7.6	19.33
HULDRA	1982	SHUT DOWN	North sea	5.2	17.3	22.69
MIME	1982	SHUT DOWN	North sea	0.4	0.1	0.5
GUNGNE	1982	PRODUCING	North sea	0.2	15.1	23.79
TYRIHANS	1983	PRODUCING	Norwegian sea	35.2	42.8	92.82
TAMBAR	1983	PRODUCING	North sea	10.2	2.2	13.35
SNØHVIT	1984	PRODUCING	Barents sea	0.0	224.4	265.43
VARG	1984	PRODUCING	North sea	16.3	0.3	16.6
OSEBERG SØR	1984	PRODUCING	North sea	67.2	21.3	92.68
DRAUGEN	1984	PRODUCING	Norwegian sea	144.4	1.7	151.61
VALEMON	1985	PRODUCING	North sea	4.7	24.3	31.28
GAUPE	1985	PRODUCING	North sea	0.2	0.4	0.6
HEIDRUN	1985	PRODUCING	Norwegian sea	186.0	49.0	239.75
NJORD	1986	PRODUCING	Norwegian sea	29.6	18.5	56.84
VIGDIS	1986	PRODUCING	North sea	69.2	1.9	73.57
VISUND	1986	PRODUCING	North sea	36.3	55.1	104.32
MIKKEL	1987	PRODUCING	Norwegian sea	6.2	32.8	58.11
TORDIS	1987	PRODUCING	North sea	65.3	4.8	73.52
YME	1987	SHUT DOWN	North sea	7.9	0.0	7.9
EMBLA	1988	PRODUCING	North sea	12.8	5.9	20.03
BLANE	1989	PRODUCING	North sea	0.8	0.0	0.8
GJØA	1989	PRODUCING	North sea	13.2	35.7	65.62
ALVE	1990	PRODUCING	Norwegian sea	1.8	6.1	9.8
SKIRNE	1990	PRODUCING	North sea	2.3	10.1	12.4
TRYM	1990	PRODUCING	North sea	1.6	4.0	5.6
FRAM	1990	PRODUCING	North sea	37.0	11.5	50.4
ENOCH	1991	PRODUCING	North sea	0.3	0.0	0.3
GRANE	1991	PRODUCING	North sea	143.7	0.0	143.7
OSELVAR	1991	PRODUCING	North sea	0.9	0.5	1.4
VALE	1991	PRODUCING	North sea	2.5	2.5	5.0
BRYNHILD	1992	PRODUCING	North sea	0.9	0.0	0.9
NORNE	1992	PRODUCING	Norwegian sea	91.3	10.6	104.37
SVALIN	1992	PRODUCING	North sea	7.7	0.0	7.7
MARULK	1992	PRODUCING	Norwegian sea	0.5	6.6	8.24
VOLVE	1993	PRODUCING	North sea	10.3	1.0	11.78
VOLUND	1994	PRODUCING	North sea	12.5	1.2	13.7
KVITEBJØRN	1994	PRODUCING	North sea	32.3	94.7	148.85
JOTUN	1994	PRODUCING	North sea	23.2	1.1	24.3
GLITNE	1995	SHUT DOWN	North sea	8.9	0.0	8.9
TUNE	1995	PRODUCING	North sea	3.3	18.5	22.18
SYGNA	1996	PRODUCING	North sea	11.2	0.0	11.2
AASTA HANSTEEN	1997	PDO APPROVED	Norwegian sea	0.0	45.5	46.4
KRISTIN	1997	PRODUCING	Norwegian sea	23.1	29.5	66.29
ORMEN LANGE	1997	PRODUCING	Norwegian sea	0.0	296.4	315.3
HANZ	1997	PDO APPROVED	North sea	2.3	0.4	2.89
ALVHEIM	1998	PRODUCING	North sea	43.5	8.4	51.9
SKARV	1998	PRODUCING	Norwegian sea	17.9	43.8	71.2
GOLIAT	2000	PRODUCING	Barents sea	28.5	0.0	28.5
URD	2000	PRODUCING	Norwegian sea	7.5	0.4	8.09
MORVIN	2001	PRODUCING	Norwegian sea	10.1	4.7	17.08
REV	2001	PRODUCING	North sea	0.8	2.6	3.4
RINGHORNE ØST	2003	PRODUCING	North sea	15.7	0.3	16.0
VILJE	2003	PRODUCING	North sea	13.4	0.0	13.4
GIMLE	2004	PRODUCING	North sea	2.9	0.9	4.18
EDVARD GRIEG	2007	PRODUCING	North sea	26.2	1.8	28.95
TAMBAR ØST	2007	PRODUCING	North sea	0.3	0.0	0.3
YTTERGRYTA	2007	SHUT DOWN	Norwegian sea	0.3	2.2	3.26
FRAM H-NORD	2007	PRODUCING	North sea	0.7	0.0	0.7
ISLAY	2008	PRODUCING	North sea	0.0	0.1	0.1
IVAR AASEN	2008	PDO APPROVED	North sea	23.3	4.4	29.41
KNARR	2008	PRODUCING	North sea	8.9	0.2	10.24
VISUND SØR	2008	PRODUCING	North sea	2.7	7.5	12.1
SKULD	2008	PRODUCING	Norwegian sea	5.1	0.3	5.59
JETTE	2009	PRODUCING	North sea	0.5	0.0	0.5
HYME	2009	PRODUCING	Norwegian sea	4.2	0.6	5.18
ATLA	2010	PRODUCING	North sea	0.3	1.2	1.5
MARIA	2010	PDO APPROVED	Norwegian sea	25.0	2.5	31.3
JOHAN SVERDRUP	2010	PDO APPROVED	North sea	279.5	8.5	295.03
